ID	Language_ID	Parameter_ID	Form	Value	Segments
eng-715_rise-1	eng	715_rise	ɹaɪz	rise	ɹ a ɪ z
eng-626_only-1	eng	626_only	ˈəʊnlɪ	only	ə ʊ n l ɪ
eng-597_atthattime-1	eng	597_atthattime	ət ˈðæt ˌtaɪm	at that time	ə t + ð æ t + t a ɪ m
eng-869_swing-1	eng	869_swing	swɪŋ	swing	s w ɪ ŋ
eng-969_wash-1	eng	969_wash	wɒʃ	wash	w ɒ ʃ
eng-781_comeback-1	eng	781_comeback	kʌm ˈbæk	come back	k ʌ m + b æ k
eng-563_old-1	eng	563_old	əʊld	old	ə ʊ l d
eng-243_people-1	eng	243_people	ˈpiːpl	people	p iː p l
eng-316_box-1	eng	316_box	bɒks	box	b ɒ k s
eng-601_once-1	eng	601_once	wʌns	once	w ʌ n s
eng-697_burn-1	eng	697_burn	bɜːn	burn	b ɜː n
eng-411_life-1	eng	411_life	laɪf	life	l a ɪ f
eng-428_wealth-1	eng	428_wealth	welθ	wealth	w e l θ
eng-539_weak-1	eng	539_weak	wiːk	weak	w iː k
eng-903_praise-1	eng	903_praise	pɹeɪz	praise	p ɹ e ɪ z
eng-835_produce-1	eng	835_produce	pɹəˈdjuːs	produce	p ɹ ə d j uː s
eng-41_blood-1	eng	41_blood	blʌd	blood	b l ʌ d
eng-943_cheat-1	eng	943_cheat	t͡ʃiːt	cheat	tʃ iː t
eng-361_milk-1	eng	361_milk	mɪlk	milk	m ɪ l k
eng-950_fish-1	eng	950_fish	fɪʃ	fish	f ɪ ʃ
eng-237_call-1	eng	237_call	kɔːl	call	k ɔː l
eng-974_bath-1	eng	974_bath	bɑːθ	bath	b ɑː θ
eng-310_floor-1	eng	310_floor	flɔː	floor	f l ɔː
eng-879_grab-1	eng	879_grab	ɡɹæb	grab	g ɹ æ b
eng-207_sister-1	eng	207_sister	ˈsɪstə	sister	s ɪ s t ə
eng-530_grey-1	eng	530_grey	ɡɹeɪ	grey	g ɹ e ɪ
eng-210_husband-1	eng	210_husband	ˈhʌzbənd	husband	h ʌ z b ə n d
eng-186_gold-1	eng	186_gold	ɡəʊld	gold	g ə ʊ l d
eng-628_again-1	eng	628_again	əˈɡen	again	ə g e n
eng-440_arrow-1	eng	440_arrow	ˈæɹəʊ	arrow	æ ɹ ə ʊ
eng-7_lip-1	eng	7_lip	lɪp	lip	l ɪ p
eng-476_wednesday-1	eng	476_wednesday	ˈwenzdeɪ	Wednesday	w e n z d e ɪ
eng-842_bend-1	eng	842_bend	bend	bend	b e n d
eng-603_often-1	eng	603_often	ˈɒfn	often	ɒ f n
eng-680_hang-1	eng	680_hang	hæŋ	hang	h æ ŋ
eng-206_brother-1	eng	206_brother	ˈbɹʌðə	brother	b ɹ ʌ ð ə
eng-126_claw-1	eng	126_claw	ˈklɔː	claw	k l ɔː
eng-498_sharp-1	eng	498_sharp	ʃɑːp	sharp	ʃ ɑː p
eng-110_grass-1	eng	110_grass	ɡɹɑːs	grass	g ɹ ɑː s
eng-50_hunger-1	eng	50_hunger	ˈhʌŋɡə	hunger	h ʌ ŋ g ə
eng-985_ask-1	eng	985_ask	ɑːsk	ask	ɑː s k
eng-81_heat-1	eng	81_heat	hiːt	heat	h iː t
eng-352_mush-1	eng	352_mush	mʌʃ	mush	m ʌ ʃ
eng-679_lie-1	eng	679_lie	laɪ	lie	l a ɪ
eng-892_spoil-1	eng	892_spoil	spɔɪl	spoil	s p ɔ ɪ l
eng-708_sink-1	eng	708_sink	sɪŋk	sink	s ɪ ŋ k
eng-531_colourful-1	eng	531_colourful	ˈkʌləfʊl	colourful	k ʌ l ə f ʊ l
eng-656_four-1	eng	656_four	fɔː	four	f ɔː
eng-811_becold-1	eng	811_becold	bɪ ˈkəʊld	be cold	b ɪ + k ə ʊ l d
eng-594_then-1	eng	594_then	ðen	then	ð e n
eng-925_leave-1	eng	925_leave	liːv	leave	l iː v
eng-61_wind-1	eng	61_wind	wɪnd	wind	w ɪ n d
eng-414_church-1	eng	414_church	t͡ʃɜːt͡ʃ	church	tʃ ɜː tʃ
eng-593_soon-1	eng	593_soon	suːn	soon	s uː n
eng-961_boil-1	eng	961_boil	bɔɪl	boil	b ɔ ɪ l
eng-336_doll-1	eng	336_doll	dɒl	doll	d ɒ l
eng-329_nail-1	eng	329_nail	neɪl	nail	n e ɪ l
eng-740_fallasleep-1	eng	740_fallasleep	fɔːl əˈsliːp	fall asleep	f ɔː l + ə s l iː p
eng-177_hay-1	eng	177_hay	heɪ	hay	h e ɪ
eng-900_give-1	eng	900_give	ɡɪv	give	g ɪ v
eng-555_naked-1	eng	555_naked	ˈneɪkɪd	naked	n e ɪ k ɪ d
eng-456_month-1	eng	456_month	mʌnθ	month	m ʌ n θ
eng-884_add-1	eng	884_add	æd	add	æ d
eng-733_live-1	eng	733_live	bɪ əˈlaɪv	be alive	b ɪ + ə l a ɪ v
eng-766_seesaw-1	eng	766_seesaw	ˈsiːsɔː	seesaw	s iː s ɔː
eng-529_green-1	eng	529_green	ɡɹiːn	green	g ɹ iː n
eng-825_touch-1	eng	825_touch	tʌt͡ʃ	touch	t ʌ tʃ
eng-591_today-1	eng	591_today	təˈdeɪ	today	t ə d e ɪ
eng-829_light-1	eng	829_light	laɪt	light	l a ɪ t
eng-286_row-1	eng	286_row	ɹəʊ	row	ɹ ə ʊ
eng-94_hill-1	eng	94_hill	hɪl	hill	h ɪ l
eng-256_piece-1	eng	256_piece	piːs	piece	p iː s
eng-291_campfire-1	eng	291_campfire	ˈkæmpfaɪə	campfire	k æ m p f a ɪ ə
eng-303_pole-1	eng	303_pole	pəʊl	pole	p ə ʊ l
eng-608_hence-1	eng	608_hence	ˈhɛns	hence	h ɛ n s
eng-311_table-1	eng	311_table	ˈteɪbl	table	t e ɪ b l
eng-304_stick-1	eng	304_stick	stɪk	stick	s t ɪ k
eng-455_week-1	eng	455_week	wiːk	week	w iː k
eng-454_night-1	eng	454_night	naɪt	night	n a ɪ t
eng-970_wipe-1	eng	970_wipe	waɪp	wipe	w a ɪ p
eng-938_steal-1	eng	938_steal	stiːl	steal	s t iː l
eng-178_peelhusk-1	eng	178_peelhusk	hʌsk	husk	h ʌ s k
eng-773_go-1	eng	773_go	ɡəʊ	go	g ə ʊ
eng-847_lift-1	eng	847_lift	lɪft	lift	l ɪ f t
eng-430_country-1	eng	430_country	ˈkʌntɹɪ	country	k ʌ n t ɹ ɪ
eng-490_delicatefine-1	eng	490_delicatefine	ˈdelɪkət	delicate	d e l ɪ k ə t
eng-232_speech-1	eng	232_speech	spiːt͡ʃ	speech	s p iː tʃ
eng-191_sand-1	eng	191_sand	sænd	sand	s æ n d
eng-808_seem-1	eng	808_seem	siːm	seem	s iː m
eng-359_soup-1	eng	359_soup	suːp	soup	s uː p
eng-928_protect-1	eng	928_protect	pɹəˈtekt	protect	p ɹ ə t e k t
eng-44_bone-1	eng	44_bone	bəʊn	bone	b ə ʊ n
eng-891_hinder-1	eng	891_hinder	ˈhɪndə	hinder	h ɪ n d ə
eng-155_owl-1	eng	155_owl	aʊl	owl	a ʊ l
eng-48_liver-1	eng	48_liver	ˈlɪvə	liver	l ɪ v ə
eng-365_cloth-1	eng	365_cloth	klɒθ	cloth	k l ɒ θ
eng-851_push-1	eng	851_push	pʊʃ	push	p ʊ ʃ
eng-636_becauseof-1	eng	636_becauseof	bɪˈkɒz əv	because of	b ɪ k ɒ z + ə v
eng-362_tea-1	eng	362_tea	tiː	tea	t iː
eng-438_fight-1	eng	438_fight	faɪt	fight	f a ɪ t
eng-385_string-1	eng	385_string	stɹɪŋ	string	s t ɹ ɪ ŋ
eng-641_thou-2	eng	641_thou	ðaʊ	thou	ð a ʊ
eng-805_taste-1	eng	805_taste	teɪst	taste	t e ɪ s t
eng-57_sun-1	eng	57_sun	sʌn	sun	s ʌ n
eng-839_alter-1	eng	839_alter	ˈɔːltə	alter	ɔː l t ə
eng-401_pasture-1	eng	401_pasture	ˈpɑːst͡ʃə	pasture	p ɑː s tʃ ə
eng-33_toe-1	eng	33_toe	təʊ	toe	t ə ʊ
eng-145_hare-1	eng	145_hare	heə	hare	h e ə
eng-544_stupid-1	eng	544_stupid	ˈstjuːpɪd	stupid	s t j uː p ɪ d
